geo_name,geo_id,level,moe,Total_25o_wtd_sum,LT_HS_Grad_wtd_sum,HS_Grad_Equiv_wtd_sum,SomeCollege_wtd_sum,Bach_degree_wtd_sum,Masters_degree_wtd_sum,Prof_school_degree_wtd_sum,Doc_degree_wtd_sum,HS_Grad_or_Higher_wtd_sum,Bach_degree_or_Higher_wtd_sum,TotPop_PSD_wtd,TotPopBP_PSD_wtd,PopU18_PSD_wtd,PopU18_BP_PSD_wtd,Pop18to64_PSD_wtd,Pop18to64_BP_PSD_wtd,Pop65over_PSD_wtd,Pop65over_BP_PSD_wtd,Pop25over_PSD_wtd,Pop25over_BP_PSD_wtd,LT_highschl_PSD_wtd,LT_highschl_BP_PSD_wtd,HSgrad_PSD_wtd,HSgrad_BP_PSD_wtd,SomeColl_Assoc_PSD_wtd,SomeColl_Assoc_BP_PSD_wtd,BachHigher_PSD_wtd,BachHigher_BP_PSD_wtd,Indiv_Below50pctPov_wtd,Indiv_Below125pctPov_wtd,Indiv_Below150pctPov_wtd,Indiv_Below185pctPov_wtd,Indiv_Below200pctPov_wtd,Indiv_Under.50Pov_wtd,Indiv_Total.50to.99Pov_wtd,Indiv_Total1.00to1.24Pov_wtd,Indiv_Total1.25to1.49Pov_wtd,Indiv_Total1.50to1.84Pov_wtd,Indiv_Total1.85to1.99Pov_wtd,Indiv_Total2.00andoverPov_wtd
Lower South Providence,11,neighborhood,0,3304.85877406255,1249.24197928319,827.254637088564,858.433548038866,255.947794377733,101.537572030951,4.83903903903904,7.6042042042042,2055.61679477936,369.928609651928,6402.80549579093,3177.52250096414,2119.82570126628,1361.41877208237,3880.95375247622,1641.7361496567,402.02604204843,174.367579225064,3226.74285814663,1226.98287066647,1208.45579309701,635.073638168879,807.898480932408,330.077898265189,848.755469960788,208.705038034578,361.633114156432,53.1262961978197,1133.42470862248,3465.38655044302,3827.14266475995,4503.30605479183,4659.04504520474,1133.42470862248,2044.09779234166,287.864049478886,361.756114316923,676.163390031883,155.738990412907,1743.76045058619
Manton,12,neighborhood,0,2398.6262849913,963.200537719437,641.67072592124,381.252411829828,320.140914123043,61.1114977067848,29.8613000158153,1.3888976751542,1435.42574727186,412.502609520797,4436.13917444251,1547.92645895935,1601.39901945279,747.921398070536,2408.34856871738,709.726712003796,426.391586272339,90.2783488850229,2398.6262849913,629.865095682429,963.200537719437,379.863514154673,641.67072592124,152.778744266962,381.252411829828,88.1950023722916,412.502609520797,9.02783488850229,822.921872528863,1889.59528704729,2175.70820812905,2452.09884548474,2574.32184089831,822.921872528863,725.004586430492,341.668828087933,286.112921081765,276.390637355686,122.22299541357,1861.8173335442
Mount Hope,13,neighborhood,0,3906.54329573602,447.286759437422,522.310234194776,745.113964514655,1135.99619845429,554.565185452922,214.422681705593,286.848271976357,3459.2565362986,2191.83233758917,5372.0459640469,1305.33195169401,915.049248939586,357.042507999617,3718.50556411919,912.900567680483,738.491150988126,35.388876013905,3765.7407464892,613.2245537755,396.085832438581,96.1732233408103,478.638855284,121.505631092732,724.784184676879,242.52241274836,2166.23187408974,153.023286593598,947.130454888537,1548.58368822222,2104.0791680398,2364.10880329978,2490.86148702521,947.130454888537,358.201496805468,243.251736528219,555.495479817577,260.029635259974,126.75268372543,2881.1844770217
Mount Pleasant,14,neighborhood,0,5597.12321018317,1722.40621325171,1255.29992635134,1493.9146242655,742.891864303047,262.440511441745,49.6290207535746,70.5410498162527,3874.71699693146,1125.50244631462,9138.89181133591,1488.23433974024,2333.42807127543,487.819231377511,6071.86913877859,857.665805217544,733.59460128188,142.749303145181,5591.53859479855,744.711653800767,1720.97426058898,336.347538946291,1255.29992635134,252.172284521522,1491.48030473887,113.30104203027,1123.78410311935,42.8907883026838,1025.69509305279,1938.07342294076,2709.68826497047,3529.65066952901,3965.27015395096,1025.69509305279,462.539246687448,449.839083200526,771.614842029708,819.962404558543,435.619484421952,5173.62165738494
Olneyville,15,neighborhood,0,3382.72760718758,1487.14425267123,845.512162619411,639.537550918805,307.101702528914,93.8732849787738,9.1450501552074,.413603315232482,1895.58335451634,410.533640978127,6540.67864980808,2694.79629053105,2194.41524669544,1115.41710662138,3992.51171885929,1518.02327457034,353.751684253346,61.3559093393283,3382.72760718758,1119.83092414845,1487.14425267123,512.2805911816,845.512162619411,354.843468551566,639.537550918805,174.849080353023,410.533640978127,77.8577840622655,1086.36751057966,3248.91637301444,3720.95298415683,4287.89752968019,4495.32824552336,1086.36751057966,1608.42877995138,554.120082483394,472.036611142394,566.944545523359,207.430715843167,2045.35040428472
Reservoir,16,neighborhood,0,1882,539,505,508,224,78,20,8,1343,330,3064,368,740,95,2141,258,183,15,1882,204,539,108,505,58,508,15,330,23,157,425,612,881,990,157,211,57,187,269,109,2074
Silver Lake,17,neighborhood,0,7666.62095883764,3129.30610700015,2464.73345446752,1448.33251220175,429.308255187021,143.385594852384,51.5550351288056,0,4537.31485183749,624.248885168211,12729.7605865401,3589.64349513016,3736.81998437622,1491.55534885528,8250.89564446923,1997.67600334861,742.04495769466,100.412142926275,7666.62095883764,1631.91054433683,3129.30610700015,656.662853501918,2464.73345446752,597.252297313935,1448.33251220175,324.587371176273,624.248885168211,53.4080223446988,1749.73489174955,4830.33523335916,5869.61835306441,7275.59802981093,7509.10915162832,1749.73489174955,1839.90860338061,1240.691738229,1039.28311970525,1405.97967674652,233.511121817388,5220.6514349118
Smith Hill,18,neighborhood,0,3406.7428753323,1023.63131419262,809.05004214075,749.427534856501,380.374992515215,173.228405407573,194.321715817694,76.7088704019414,2383.11156113968,824.633984142424,5765.01840635659,1731.36413110405,1450.15263650835,642.551243378084,3859.7450411183,959.683515623146,455.120728729937,129.129372102823,3406.19335995092,883.709131663294,1023.42524592461,393.026841002837,808.740939738727,182.817047571597,749.427534856501,239.967916258534,824.599639431089,67.8973268303264,904.049791894741,2296.53570807193,2984.55578734851,3502.04826047955,3711.77013152885,904.049791894741,827.314339209313,565.171576967877,688.02007927658,517.492473131035,209.721871049305,2053.24827482774
South Elmwood,19,neighborhood,0,908.923250990006,260.426928153875,261.939279653027,190.253818593249,118.568357533472,65.9385253630021,9.07410899490854,2.72223269847256,648.496322836131,196.303224589855,1441.57344899114,405.915142372242,322.735809918914,143.068451819725,973.954365453517,217.173675278144,144.883273618706,45.673015274373,908.923250990006,198.420516688667,260.426928153875,79.2472185555346,261.939279653027,64.4261738638507,190.253818593249,27.5247972845559,196.303224589855,27.2223269847256,186.321704695455,559.570054686027,698.706392607958,785.515368659249,796.40429945314,186.321704695455,219.593437676787,153.654912313785,139.136337921931,86.8089760512917,10.8889307938903,645.169149537997
Upper South Providence,20,neighborhood,0,2593.02350821973,914.142405101193,734.471489037562,698.476962471645,162.902055472117,75.300866407487,1.45045045045045,6.27927927927928,1678.88110311854,245.932651609333,4623.19870841328,2293.05407561244,1473.28841284784,968.30375044015,2800.33453581207,1140.13291941237,349.575759753372,184.617405759921,2548.60909380532,1077.22433654074,892.917179875967,478.140776245536,724.66968723576,311.38096059367,695.576061570744,252.828895899356,235.446165122847,34.8737038021803,845.222738824972,2550.91615225968,2839.28436226708,3148.59484610907,3354.70930914962,845.222738824972,1447.83133678747,257.86207664724,288.368210007402,309.310483841991,206.114463040547,1268.48939926366
Valley,21,neighborhood,0,2806.2571246677,928.36868580738,808.94995785925,751.572465143499,229.625007484785,63.7715945924266,6.67828418230563,17.2911295980586,1877.88843886032,317.366015857576,5120.98159364341,1719.63586889595,1747.84736349165,769.448756621916,3166.2549588817,890.316484376854,206.879271270063,59.8706278971766,2790.80664004908,827.290868336706,922.574754075395,373.973158997163,800.259060261273,218.182952428403,751.572465143499,178.032083741466,316.400360568911,57.1026731696736,636.950208105259,2036.46429192807,2403.44421265149,2814.95173952045,3313.22986847115,636.950208105259,1082.68566079069,316.828423032123,366.97992072342,411.507526868965,498.278128950695,1807.75172517226
Wanskuck,22,neighborhood,0,6324,1617,1953,1759,736,164,70,25,4707,995,10486,3462,3019,1422,6640,1806,827,234,6228,1524,1565,664,1932,466,1751,343,980,51,1335,4372,4992,6052,6456,1335,2127,910,620,1060,404,4030
Washington Park,23,neighborhood,0,4293.07674900999,1168.57307184613,1282.06072034697,976.746181406751,556.431642466528,263.061474636998,39.9258910050915,6.27776730152744,3124.50367716387,865.696775410145,7081.42655100886,1964.08485762776,1757.26419008109,623.931548180275,4778.04563454648,1197.82632472186,546.116726381294,142.326984725627,4280.07674900999,912.579483311333,1168.57307184613,243.752781444465,1280.06072034697,362.573826136149,965.746181406751,194.475202715444,865.696775410145,111.777673015274,789.678295304545,2484.42994531397,3135.29360739204,3730.48463134075,3781.59570054686,789.678295304545,1174.40656232321,520.345087686215,650.863662078069,595.191023948708,51.1110692061097,3299.830850462
Wayland,24,neighborhood,0,2645.32449762527,52.6565366787275,352.7816307189,286.557968935808,758.35507039684,631.224684002161,272.387593732297,291.361013160536,2592.66796094654,1953.32836129183,3779.32748972877,708.223849826565,347.709455135556,22.3764145109387,2888.26232182512,667.901448480439,543.355712768093,17.9459868351871,2611.94936284234,181.123044735026,42.4475514306274,8.41760060362692,347.33683858658,36.4892196520326,280.040888984,60.8237248772076,1942.12408384114,75.392499602159,408.727435557502,826.962771890583,986.537634947002,1183.71250328339,1284.44115773131,408.727435557502,299.496414269063,118.738922064018,159.574863056419,197.174868336385,100.728654447921,2494.88633199746
West End,25,neighborhood,0,10132.3930592791,4166.0145963658,2437.72088173965,2115.66607089663,871.553023532916,317.351355376825,125.159517426273,98.9276139410188,5966.37846291332,1412.99151027703,16706.4904676795,5702.7454572535,4679.54795948764,2119.32112004766,10965.45487042,3296.28239499553,1061.48763777182,287.141942210307,9966.33333333333,2949.15802800119,4091.41867739053,1338.55793863569,2374.77077747989,967.106791778374,2096.15236818588,517.670390229371,1403.99151027703,125.82290735776,2650.69422103068,7612.57387548406,9689.73607387548,10705.5329162943,11083.8891867739,2650.69422103068,3052.05123622282,1909.82841823056,2077.16219839142,1015.79684241883,378.356270479595,5622.60128090557
